,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
5983,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,na,No priority to vehicle,Slight Injury
5984,31-50,Male,High school,Above 10yr,, Industrial areas,Other,1,Male,No distancing,Slight Injury
5985,31-50,Male,Junior high school,Above 10yr,, Church areas,Other,1,Female,No distancing,Slight Injury
5986,Unknown,Male,Junior high school,Above 10yr,No defect,Residential areas,Crossing,1,Male,Overtaking,Serious Injury
5987,18-30,Male,Junior high school,Above 10yr,,,Crossing,1,na,Driving under the influence of drugs,Serious Injury
5988,31-50,Male,Junior high school,Above 10yr,,,Crossing,1,Male,Changing lane to the right,Serious Injury
5989,Unknown,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,na,Changing lane to the left,Slight Injury
5990,Over 51,Male,Junior high school,2-5yr,No defect, Outside rural areas,No junction,1,Female,Driving carelessly,Serious Injury
5991,Under 18,Male,Junior high school,Below 1yr,No defect, Church areas,No junction,2,na,Moving Backward,Slight Injury
5992,Under 18,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,2,Male,Moving Backward,Slight Injury
5993,Unknown,Male,Junior high school,2-5yr,, Church areas,No junction,2,na,Changing lane to the right,Slight Injury
5994,31-50,Male,Elementary school,Below 1yr,,Office areas,No junction,1,na,No priority to vehicle,Slight Injury
5995,Unknown,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,Male,Driving at high speed,Slight Injury
5996,31-50,Male,Junior high school,,No defect,School areas,Y Shape,1,Male,Driving under the influence of drugs,Slight Injury
5997,31-50,Male,,5-10yr,No defect,Residential areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
5998,Unknown,Female,Writing & reading,Below 1yr,No defect,Office areas,Crossing,1,na,Driving carelessly,Slight Injury
5999,Under 18,Male,Junior high school,Below 1yr,No defect,Rural village areasOffice areas,Crossing,1,na,No distancing,Slight Injury
6000,31-50,Male,Junior high school,1-2yr,No defect,Other,Crossing,1,na,Changing lane to the left,Slight Injury
6001,18-30,Male,Elementary school,Above 10yr,No defect,Residential areas,Crossing,1,Female,No distancing,Slight Injury
6002,31-50,Male,Elementary school,Above 10yr,No defect,Office areas,Y Shape,1,Female,No distancing,Slight Injury
6003,18-30,Male,Elementary school,Below 1yr,No defect,Office areas,Y Shape,1,Female,Getting off the vehicle improperly,Slight Injury
6004,31-50,Male,High school,2-5yr,No defect,Residential areas,Y Shape,1,na,Overtaking,Slight Injury
6005,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Male,Driving carelessly,Slight Injury
6006,Over 51,Male,Above high school,Above 10yr,No defect,Office areas,No junction,1,na,Driving under the influence of drugs,Fatal injury
6007,18-30,Male,Junior high school,2-5yr,No defect,Office areas,No junction,1,Female,Moving Backward,Fatal injury
6008,Under 18,Male,Junior high school,2-5yr,No defect,Office areas,Other,1,na,Overturning,Slight Injury
6009,18-30,Male,High school,1-2yr,No defect,Other,Other,1,Male,Driving under the influence of drugs,Slight Injury
6010,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Female,Changing lane to the right,Serious Injury
6011,31-50,Male,Junior high school,Below 1yr,,Other,Y Shape,1,na,Changing lane to the left,Serious Injury
6012,Unknown,Male,Junior high school,Below 1yr,,Residential areas,Y Shape,1,Male,No distancing,Serious Injury
6013,31-50,Male,Elementary school,,,School areas,Other,1,Male,No distancing,Serious Injury
6014,18-30,Male,Junior high school,Below 1yr,,Residential areas,Other,1,Male,No priority to vehicle,Serious Injury
6015,Unknown,Female,Junior high school,1-2yr,No defect,Office areas,No junction,1,na,Moving Backward,Slight Injury
6016,18-30,Male,Elementary school,2-5yr,No defect, Church areas,No junction,1,Male,Moving Backward,Slight Injury
6017,Unknown,Female,High school,1-2yr,No defect,Other,No junction,1,Female,Getting off the vehicle improperly,Slight Injury
6018,18-30,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,na,Changing lane to the left,Slight Injury
6019,18-30,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,3,na,Changing lane to the left,Slight Injury
6020,31-50,Male,High school,Above 10yr,No defect,Other,Y Shape,3,Male,No priority to vehicle,Slight Injury
6021,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,3,Female,Changing lane to the right,Slight Injury
6022,31-50,Male,Elementary school,Below 1yr,No defect,Office areas,Y Shape,3,na,Changing lane to the right,Slight Injury
6023,Unknown,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Male,Driving carelessly,Slight Injury
6024,18-30,Male,Elementary school,5-10yr,No defect,Office areas,No junction,1,na,Changing lane to the left,Slight Injury
6025,31-50,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,1,Male,Changing lane to the right,Serious Injury
6026,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Crossing,3,na,Driving under the influence of drugs,Slight Injury
6027,18-30,Male,Junior high school,5-10yr,No defect,Other,Crossing,3,Male,Driving carelessly,Slight Injury
6028,31-50,Male,High school,1-2yr,No defect,Office areas,Crossing,3,Male,No distancing,Slight Injury
6029,Unknown,Male,Junior high school,Above 10yr,No defect,School areas,T Shape,5,Male,No priority to vehicle,Slight Injury
6030,Under 18,Male,Elementary school,2-5yr,,Residential areas,T Shape,5,Female,No priority to vehicle,Slight Injury
6031,Under 18,Male,Junior high school,5-10yr,,Office areas,T Shape,5,na,No priority to vehicle,Slight Injury
6032,Under 18,Male,Junior high school,Below 1yr,No defect,Residential areas,T Shape,5,Female,Changing lane to the left,Slight Injury
6033,Under 18,Male,Junior high school,5-10yr,,Office areas,T Shape,5,Male,Moving Backward,Slight Injury
6034,Under 18,Male,High school,Above 10yr,,Residential areas,T Shape,5,na,Driving carelessly,Slight Injury
6035,Unknown,Male,Junior high school,5-10yr,No defect,Other,Other,1,na,Driving under the influence of drugs,Slight Injury
6036,18-30,Male,Elementary school,1-2yr,,Other,Other,1,Male,Changing lane to the right,Slight Injury
6037,Unknown,Male,Junior high school,,,Office areas,Y Shape,2,Female,No priority to vehicle,Slight Injury
6038,31-50,Male,Above high school,1-2yr,No defect,Office areas,Y Shape,2,Male,Changing lane to the right,Slight Injury
6039,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,Y Shape,2,Male,Driving to the left,Slight Injury
6040,Unknown,Male,Junior high school,1-2yr,No defect,Other,Y Shape,2,Male,Moving Backward,Serious Injury
6041,Under 18,Male,Junior high school,5-10yr,No defect,Other,Y Shape,2,Male,No priority to vehicle,Serious Injury
6042,Under 18,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,2,na,No distancing,Serious Injury
6043,Unknown,Male,,,No defect,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
6044,18-30,Male,Junior high school,2-5yr,No defect, Church areas,No junction,1,na,Changing lane to the left,Slight Injury
6045,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,2,Male,No priority to vehicle,Slight Injury
6046,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,na,No priority to vehicle,Slight Injury
6047,Unknown,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,Male,No distancing,Slight Injury
6048,18-30,Male,Above high school,1-2yr,,Residential areas,Y Shape,1,Male,Driving to the left,Slight Injury
6049,Unknown,Male,Above high school,No Licence,,Other,Crossing,2,na,Driving carelessly,Serious Injury
6050,31-50,Male,Junior high school,1-2yr,,Residential areas,Crossing,2,na,Driving carelessly,Serious Injury
6051,31-50,Male,Junior high school,5-10yr,,Office areas,Crossing,2,Male,Changing lane to the right,Serious Injury
6052,Unknown,Female,Junior high school,Above 10yr,,Office areas,Y Shape,1,Male,Driving carelessly,Slight Injury
6053,31-50,Male,Junior high school,Above 10yr,,Other,Y Shape,1,na,Changing lane to the left,Slight Injury
6054,Under 18,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
6055,31-50,Male,Elementary school,2-5yr,,Office areas,No junction,1,na,Driving carelessly,Slight Injury
6056,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,2,Female,Driving under the influence of drugs,Slight Injury
6057,18-30,Male,Junior high school,Below 1yr,No defect,Other,Crossing,2,Male,Driving carelessly,Slight Injury
6058,18-30,Male,Junior high school,2-5yr,,Residential areas,No junction,3,na,No distancing,Serious Injury
6059,18-30,Male,Junior high school,2-5yr,No defect, Church areas,No junction,3,Male,Driving carelessly,Serious Injury
6060,18-30,Male,Elementary school,5-10yr,No defect,Residential areas,No junction,3,Male,Driving to the left,Serious Injury
6061,Unknown,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,3,Female,Overtaking,Serious Injury
6062,18-30,Male,,,No defect,Residential areas,Y Shape,2,Male,No distancing,Serious Injury
6063,Under 18,Male,Junior high school,2-5yr,No defect,Other,Y Shape,2,Male,Driving carelessly,Serious Injury
6064,Unknown,Male,Junior high school,5-10yr,, Industrial areas,No junction,1,Female,No priority to vehicle,Slight Injury
6065,31-50,Male,Above high school,2-5yr,, Church areas,No junction,1,Female,No priority to vehicle,Slight Injury
6066,Unknown,Male,,,No defect,Residential areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
6067,Unknown,Male,,1-2yr,,,No junction,1,Male,No priority to vehicle,Slight Injury
6068,Unknown,Male,Junior high school,2-5yr,,,Y Shape,1,Female,No distancing,Slight Injury
6069,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,na,Moving Backward,Slight Injury
6070,18-30,Male,Junior high school,Below 1yr,No defect, Outside rural areas,No junction,1,Male,No distancing,Slight Injury
6071,Unknown,Male,Junior high school,2-5yr,No defect, Church areas,No junction,1,na,Changing lane to the left,Slight Injury
6072,18-30,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,Male,Changing lane to the left,Slight Injury
6073,Unknown,Male,High school,5-10yr,, Church areas,No junction,1,Male,No priority to pedestrian,Slight Injury
6074,Over 51,Male,Above high school,1-2yr,,Office areas,No junction,1,Male,Moving Backward,Slight Injury
6075,18-30,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,Male,Changing lane to the left,Slight Injury
6076,Unknown,Male,,,No defect,School areas,No junction,2,Male,No distancing,Slight Injury
6077,31-50,Male,High school,Below 1yr,No defect,Residential areas,No junction,2,na,No priority to vehicle,Slight Injury
6078,31-50,Male,High school,Below 1yr,No defect,Office areas,No junction,2,Female,Changing lane to the right,Slight Injury
6079,Unknown,Male,,,No defect,Rural village areasOffice areas,No junction,2,na,No distancing,Slight Injury
6080,31-50,Male,High school,2-5yr,No defect,Other,No junction,1,Female,No distancing,Slight Injury
6081,18-30,Male,Junior high school,Above 10yr,No defect,Residential areas,No junction,1,na,Getting off the vehicle improperly,Slight Injury
6082,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,Male,No priority to pedestrian,Serious Injury
6083,31-50,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Male,Changing lane to the left,Serious Injury
6084,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,No junction,1,na,No distancing,Serious Injury
6085,Unknown,Male,Unknown,Below 1yr,No defect,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
6086,31-50,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,na,No distancing,Slight Injury
6087,18-30,Male,High school,2-5yr,No defect,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
6088,Unknown,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,Female,Overtaking,Slight Injury
6089,Unknown,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,Driving carelessly,Slight Injury
6090,31-50,Male,Elementary school,2-5yr,No defect,Other,Y Shape,1,Female,Moving Backward,Slight Injury
6091,18-30,Male,Elementary school,5-10yr,,Other,Y Shape,1,na,No distancing,Slight Injury
6092,Unknown,Male,Junior high school,Above 10yr,,Residential areas,T Shape,1,Male,Overtaking,Slight Injury
6093,31-50,Male,Junior high school,5-10yr,,School areas,T Shape,1,Male,Driving carelessly,Slight Injury
6094,18-30,Male,High school,5-10yr,,Residential areas,Y Shape,1,na,Driving carelessly,Slight Injury
6095,31-50,Male,Junior high school,5-10yr,No defect,Office areas,Other,1,Male,Moving Backward,Slight Injury
6096,Under 18,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,1,na,Driving carelessly,Slight Injury
6097,Unknown,Male,Junior high school,1-2yr,No defect,Other,Y Shape,1,Male,Driving to the left,Slight Injury
6098,Under 18,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,Male,Changing lane to the left,Slight Injury
6099,31-50,Male,Junior high school,1-2yr,No defect,Other,No junction,1,Female,No distancing,Slight Injury
6100,18-30,Male,,,No defect,Other,No junction,1,na,No distancing,Slight Injury
6101,Over 51,Male,Elementary school,5-10yr,No defect,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
6102,31-50,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Female,Driving under the influence of drugs,Slight Injury
6103,18-30,Male,Junior high school,Above 10yr,No defect,Residential areas,Crossing,1,na,Changing lane to the right,Slight Injury
6104,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,1,na,Changing lane to the left,Slight Injury
6105,Under 18,Male,Junior high school,Above 10yr,No defect,Residential areas,No junction,3,Male,Moving Backward,Slight Injury
6106,Under 18,Male,Junior high school,2-5yr,No defect,Office areas,No junction,3,Male,No distancing,Slight Injury
6107,Over 51,Male,Elementary school,5-10yr,No defect,Other,No junction,3,na,Changing lane to the right,Slight Injury
6108,Unknown,Female,Elementary school,5-10yr,No defect,Office areas,No junction,3,Male,Moving Backward,Slight Injury
6109,18-30,Male,Junior high school,5-10yr,No defect,School areas,No junction,1,na,No distancing,Serious Injury
6110,Over 51,Male,Junior high school,5-10yr,,Residential areas,No junction,1,Male,Driving to the left,Serious Injury
6111,Unknown,Female,Elementary school,Above 10yr,,Office areas,No junction,1,Male,Driving to the left,Serious Injury
6112,31-50,Male,Junior high school,Below 1yr,No defect,Residential areas,No junction,1,Male,Moving Backward,Slight Injury
6113,Over 51,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Male,Moving Backward,Slight Injury
6114,31-50,Male,Elementary school,1-2yr,No defect,Office areas,No junction,1,na,Overtaking,Slight Injury
6115,31-50,Male,,,,Residential areas,Y Shape,2,Female,Driving carelessly,Slight Injury
6116,18-30,Male,Junior high school,Above 10yr,,Other,Y Shape,2,na,Changing lane to the left,Slight Injury
6117,Over 51,Male,High school,2-5yr,, Industrial areas,Y Shape,2,Female,Driving under the influence of drugs,Slight Injury
6118,Over 51,Male,Junior high school,1-2yr,,Office areas,Crossing,1,na,No distancing,Slight Injury
